Group,Individual,Side,Tooth,Facet,Asfc,Smc,epLsar,HAsfc,Tfv,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr,Smc,Sxp,Sal,Str,Std,Sdq,Sdr,Vm,Vv,Vmp,Vmc,Vvc,Vvv,Spd,Spc,S10z,S5p,S5v,Sda,Sha,Sdv,Shv
Luhya,PT45,R,M2,9,1.43104829,1.116018115,0.002425873,0.43,62460.55605,0.190034422,-0.232754937,4.145047482,0.936592,1.707837,2.644429,0.14574777,65.91846878,0.227758737,0.404021882,11.62079031,0.761693408,177.2440701,0.12155843,0.718739749,0.009786454,0.237545454,0.009786454,0.158538733,0.212345267,0.025200187,0.010156427,0.847395424,1.570621998,0.705315569,0.865306429,337.2300425,89.14756531,3.986711744,1.2792253
Luhya,PT48,L,M1,9,2.57060038,1.667138172,0.002267027,1.41,53076.11864,0.290884099,-0.583306309,5.330248286,4.489886,2.15664,6.646526,0.219884041,0.000125302,0.33532894,0.666018012,12.06603286,0.85960739,4.499892808,0.204650795,1.753697944,0.012662388,0.347991388,0.012662388,0.238077713,0.305624287,0.0423671,0.001958414,14.50697415,3.944711558,2.691997185,1.252714373,731.5398745,469.1394455,23.03637374,15.78195239
Luo,PT10,L,M1,x,2.718769908,0.67512207,0.002809913,0.42,50622.07354,0.462787758,-0.625966831,5.282544741,1.93309,2.791315,4.724405,0.345893841,1.849442357,0.548622171,1.019146261,12.16218036,0.580746307,95.47906973,0.20602994,1.894479069,0.021790084,0.570412084,0.021790084,0.365925809,0.503166191,0.067245893,0.00494158,7.523336199,2.269424344,1.332559607,0.936864737,310.6312705,167.5929105,8.405443109,3.826610679
Luo,PT25,L,M1,10n,3.380212921,1.116018115,0.006316036,0.67,18847.23257,0.485564369,-1.336305215,6.023916225,1.311365,3.099863,4.411228,0.358954755,26.28636863,0.504691215,1.357366793,7.940723667,0.232057876,145.7596234,0.245910921,2.736427476,0.013984692,0.518675692,0.013984692,0.378711939,0.428783061,0.089892631,0.006216826,5.197368909,2.294907443,0.906369503,1.38853794,211.8939101,142.8566411,4.527762847,2.939474461
Luo,PT27,L,M1,10n,1.114398777,1.116018115,0.004651182,0.3,45887.08922,0.462787349,-0.543646891,3.996898079,1.619471,2.416989,4.03646,0.359111699,7.913880672,0.572161755,1.067020754,16.29143648,0.721248046,13.00803364,0.154899907,0.999162798,0.016586102,0.588748102,0.016586102,0.396339668,0.522740333,0.066007769,0.003802967,3.208167054,2.1268158,0.938358694,1.188457106,525.6937395,217.6626377,27.26467759,3.229264473
Luo,PT32,R,M1,10n,2.777358508,1.116018115,0.000645172,0.33,37526.08674,0.348040956,-0.640994589,4.175932577,1.301384,3.580785,4.882169,0.271784737,18.35371697,0.404971995,0.793213547,13.69798063,0.706537238,169.7449206,0.190077076,1.656791474,0.013688575,0.418660575,0.013688575,0.302779816,0.369343184,0.049317391,0.00373465,2.447118851,2.802434734,0.943238388,1.859196346,336.6811653,256.4996705,8.33061782,6.414260568
Luo,PT50,R,M2,9,3.444645606,0.67512207,0.002400448,0.46,48984.0456,0.662655151,-0.992483644,8.872251319,5.710821,4.005277,9.716098,0.456423728,0.001002415,0.705977771,1.477145458,20.32177361,0.799456584,84.75267492,0.266045749,2.638581555,0.041977008,0.747955008,0.041977008,0.459168231,0.657264769,0.090690239,0.002049503,43.65324947,5.555592962,3.932368875,1.623224087,305.6167386,290.1565845,10.23987399,15.97486166
Luo,PT55,L,M1,9,2.937756597,1.116018115,0.002300573,0.47,37740.76222,0.311434438,-0.58060493,3.980426966,1.896589,1.796371,3.69296,0.241811477,0.077283575,0.366639319,0.738434,12.66901061,0.751983325,175.5004865,0.200615297,1.812583578,0.012161288,0.378800288,0.012161288,0.268562539,0.333961461,0.044838827,0.008038607,4.154907094,2.228849223,1.152708868,1.076140355,232.8363027,113.2153488,5.186499229,2.037170498
Luo,PT61,L,M1,x,1.780199226,1.116018115,0.000907833,0.34,44632.57886,0.371334057,-1.720125675,13.79539092,2.154717,3.250562,5.405279,0.224610519,0.533726048,0.318969008,0.88727323,11.4976844,0.805487316,109.5054854,0.158766766,1.176746333,0.026504916,0.345473916,0.026504916,0.190021502,0.279346499,0.066127417,0.00161683,5.481585969,2.507282081,1.037210489,1.470071592,423.6087062,405.0386618,13.20324936,10.50664785
Luo,PT62,L,M1,x,1.637261233,1.984032205,0.002783753,0.54,45551.95293,0.432018113,-0.630420445,4.353952187,2.019365,1.936008,3.955373,0.321390551,0.397991993,0.52292512,1.099149769,12.33967617,0.488638668,120.994882,0.157353563,1.17716898,0.017159794,0.540084794,0.017159794,0.334199823,0.469774177,0.070310617,0.003074255,3.594865034,1.697691285,0.883863151,0.813828134,317.6137521,252.8667753,5.614489801,3.827483479
